信号类型,信号级别,影响区域,开始时间,结束时间,持续时间(小时),月份,季节
强季风,蓝色,"罗湖区,盐田区,大鹏新区,大鹏湾,大亚湾",2025-01-10 06:36:00,2025-01-10 10:17:00,3.683333333333333,1,冬季
大雾,黄色,"盐田区,大鹏湾",2025-03-04 01:55:00,2025-03-04 07:48:00,5.883333333333334,3,春季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-03-04 13:55:00,2025-03-04 15:40:00,1.75,3,春季
大雾,黄色,"盐田区,大鹏新区,大鹏湾,大亚湾",2025-03-14 00:55:00,2025-03-14 07:40:00,6.75,3,春季
大雾,黄色,"盐田区,大鹏新区,大鹏湾,大亚湾",2025-03-15 03:15:00,2025-03-15 09:56:00,6.683333333333334,3,春季
雷雨大风,黄色,"南山区,福田区,宝安区,光明区,龙华区,珠江口",2025-03-15 14:10:00,2025-03-15 14:51:00,0.6833333333333333,3,春季
雷雨大风,橙色,"南山区,福田区,宝安区,光明区,龙华区,珠江口,深圳湾",2025-03-15 14:51:00,2025-03-15 16:22:00,1.5166666666666666,3,春季
雷雨大风,黄色,"罗湖区,盐田区,龙岗区,坪山区,大鹏新区,大鹏湾,大亚湾",2025-03-15 15:04:00,2025-03-15 16:22:00,1.3,3,春季
暴雨,橙色,"西丽,桃源,民治,坂田",2025-03-15 15:42:00,2025-03-15 16:46:00,1.0666666666666667,3,春季
大雾,黄色,"盐田区,大鹏湾",2025-03-28 03:45:00,2025-03-28 10:05:00,6.333333333333333,3,春季
大雾,黄色,"盐田区,大鹏新区,大鹏湾,大亚湾",2025-04-12 02:10:00,2025-04-12 05:23:00,3.216666666666667,4,春季
暴雨,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-04-12 14:35:00,2025-04-12 19:10:00,4.583333333333333,4,春季
雷雨大风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-04-12 14:35:00,2025-04-12 19:10:00,4.583333333333333,4,春季
雷雨大风,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-04-24 17:40:00,2025-04-24 21:30:00,3.8333333333333335,4,春季
暴雨,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-04-24 17:40:00,2025-04-24 21:30:00,3.8333333333333335,4,春季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-04-25 01:15:00,2025-04-25 06:00:00,4.75,4,春季
雷电,-,"南山区,福田区,宝安区,光明区,龙华区,珠江口,深圳湾",2025-04-28 06:08:00,2025-04-28 10:00:00,3.8666666666666667,4,春季
雷雨大风,黄色,"龙华区,布吉,坂田,吉华",2025-05-05 22:20:00,2025-05-05 23:00:00,0.6666666666666666,5,春季
暴雨,橙色,"福永,西乡,航城",2025-05-06 14:15:00,2025-05-06 17:20:00,3.0833333333333335,5,春季
暴雨,橙色,"松岗,福永,沙井,福海,新桥",2025-05-06 20:12:00,2025-05-06 22:05:00,1.8833333333333333,5,春季
暴雨,黄色,"南山区,西乡,新安,大鹏新区,珠江口,深圳湾,大鹏湾,大亚湾",2025-05-07 16:50:00,2025-05-07 19:50:00,3.0,5,春季
暴雨,黄色,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-05-10 17:27:00,2025-05-10 20:15:00,2.8,5,春季
强季风,蓝色,"盐田区,大鹏新区,大鹏湾,大亚湾",2025-05-11 05:02:00,2025-05-11 11:30:00,6.466666666666667,5,春季
雷电,-,"松岗,沙井,福海,新桥,燕罗,光明区",2025-05-18 15:10:00,2025-05-18 18:20:00,3.1666666666666665,5,春季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-05-29 11:45:00,2025-05-29 17:30:00,5.75,5,春季
暴雨,橙色,"罗湖区,园岭,华强北",2025-05-29 15:37:00,2025-05-29 17:30:00,1.8833333333333333,5,春季
雷电,-,"全市陆地,珠江口,深圳湾,大鹏湾,大亚湾",2025-06-03 06:30:00,2025-06-03 09:56:00,3.433333333333333,6,夏季
暴雨,黄色,坪山区,2025-06-03 07:45:00,2025-06-03 09:56:00,2.183333333333333,6,夏季
