预警类型,影响区域,前次预警级别,当前预警级别,时间间隔(天),月份,季节,当前预警时间,前次预警时间,是否工作日,历史平均间隔,过去30天预警次数
台风,"全市,珠江口,深圳湾",白色,蓝色,1,6,夏季,2025-06-13 20:00:00,2025-06-12 11:00:00,1,14.0,1
台风,"全市,珠江口,深圳湾",蓝色,白色,34,7,夏季,2025-07-18 14:00:00,2025-06-13 20:00:00,1,1.0,0
台风,"全市,珠江口,深圳湾",蓝色,白色,23,8,夏季,2025-08-13 09:00:00,2025-07-20 17:30:00,1,17.5,5
台风,"全市,珠江口,深圳湾",白色,白色,10,8,夏季,2025-08-23 10:00:00,2025-08-13 09:00:00,0,19.333333333333332,1
台风,"全市,珠江口,深圳湾",白色,白色,14,9,秋季,2025-09-06 17:00:00,2025-08-23 10:00:00,0,17.0,2
台风,"全市,珠江口,深圳湾",蓝色,白色,11,9,秋季,2025-09-18 11:00:00,2025-09-07 09:00:00,1,16.4,3
台风,"全市,珠江口,深圳湾",白色,白色,3,9,秋季,2025-09-21 18:00:00,2025-09-18 11:00:00,0,15.5,4
台风,"全市,珠江口,深圳湾",蓝色,白色,9,10,秋季,2025-10-03 21:00:00,2025-09-24 17:40:00,1,13.714285714285714,10
台风,"全市,珠江口,深圳湾",蓝色,白色,15,10,秋季,2025-10-19 23:00:00,2025-10-04 12:00:00,0,13.125,9
台风,"全市,珠江口,深圳湾",蓝色,白色,20,11,秋季,2025-11-10 11:00:00,2025-10-20 22:00:00,1,13.333333333333334,2
强季风,"全市,珠江口,深圳湾",蓝色,蓝色,76,4,春季,2025-04-12 19:10:00,2025-01-26 09:30:00,0,75.5,0
强季风,"全市,珠江口,深圳湾",蓝色,蓝色,27,11,秋季,2025-11-17 22:00:00,2025-10-21 12:00:00,1,76.0,1
强季风,"盐田区,大鹏新区,大鹏湾",蓝色,蓝色,98,8,夏季,2025-08-17 11:15:00,2025-05-11 05:02:00,0,75.5,0
