信号级别,AUTOSENTCOUNT,发布内容,入库时间,自动检测消息发布状态,信号编号,同步编号,信号发布签发人,记录编号,发布时间,"发布状态(发布/取消)",AUTOSENTFLAG,信号影响区域,信号类型,记录序号,自动检测循环次数
蓝色,0,"全市陆地,森林火险,橙色,2025-12-19 09:00:00;.【深圳市解除分区强季风蓝色预警信号】风力逐渐减弱，深圳市气象台2025年12月25日20时00分解除盐田区、大鹏新区、珠江口、深圳湾、大鹏湾和大亚湾强季风蓝色预警信号。但东西部沿海、海区仍有7级阵风，海上活动要注意安全。","	2025-12-25 19:59:17",0,138,AAA30mABCAACLdcAAK,-,105329,"	2025-12-25 20:00:00",取消,0,盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾,强季风,109923,0
蓝色,0,"【深圳市分区强季风蓝色预警信号】深圳市气象台2025年12月25日07时50分发布盐田区、大鹏新区、珠江口、深圳湾、大鹏湾和大亚湾强季风蓝色预警信号，预计上述区域沿海、高地和海区最大阵风可达8级左右，信号可能从今天早晨持续到今天夜间。请落实各项防风措施。","	2025-12-25 07:52:14",0,138,AAA30mAAcAACpE8AAP,-,105328,"	2025-12-25 07:50:00",发布,0,盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾,强季风,109922,0
红色,0,"全市陆地,森林火险,橙色,2025-12-19 09:00:00;.【深圳市森林火险红色预警信号降级为橙色】深圳市森林防灭火指挥和深圳市气象台2025年12月19日09时00分将全市陆地森林火险红色预警信号降级为橙色，森林火险气象等级为四级，林内可燃物容易燃烧，森林火灾容易发生，火势蔓延速度快，继续做好森林防火工作。","	2025-12-19 09:00:40",0,136,"AAA30mAAcAACpE+AAI",-,105327,"	2025-12-19 09:00:00",取消,0,全市陆地,森林火险,109921,0
橙色,0,"【深圳市森林火险红色预警信号降级为橙色】深圳市森林防灭火指挥和深圳市气象台2025年12月19日09时00分将全市陆地森林火险红色预警信号降级为橙色，森林火险气象等级为四级，林内可燃物容易燃烧，森林火灾容易发生，火势蔓延速度快，继续做好森林防火工作。","	2025-12-19 09:00:40",0,137,"AAA30mAAcAACpE+AAH",-,105326,"	2025-12-19 09:00:00",发布,0,全市陆地,森林火险,109920,0
蓝色,0,"全市陆地,森林火险,红色,2025-11-26 11:00:00;.【深圳市解除分区强季风蓝色预警信号】风力逐渐减弱，深圳市气象台2025年11月27日22时30分解除盐田区、大鹏新区、大鹏湾和大亚湾强季风蓝色预警信号。沿海、高地和海区最大阵风仍有6-7级，请注意防风。","	2025-11-27 22:31:22",0,137,AAA30mABCAACLd3AAL,-,105325,"	2025-11-27 22:30:00",取消,0,盐田区、大鹏新区、大鹏湾、大亚湾,强季风,109919,0
蓝色,0,"【深圳市分区强季风蓝色预警信号】深圳市气象台2025年11月27日08时30分发布盐田区、大鹏新区、大鹏湾和大亚湾强季风蓝色预警信号，预计上述区域沿海、高地和海区最大阵风可达8级左右，信号可能持续到27日夜间至28日早晨。请落实各项防风措施。","	2025-11-27 08:30:33",0,137,"AAA30mAAcAACpE+AAG",-,105324,"	2025-11-27 08:30:00",发布,0,盐田区、大鹏新区、大鹏湾、大亚湾,强季风,109918,0
红色,0,"【深圳市森林火险橙色预警信号升级为红色】深圳市森林防灭火指挥部和深圳市气象台2025年11月26日11时00分将全市陆地森林火险橙色预警信号升级为红色，预计未来3天受冷空气影响，我市将持续晴天少云，北风清劲，干燥天气加剧，森林火险气象等级为五级，林内可燃物极易燃烧，森林火灾极易发生，火势蔓延速度极快，有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-11-26 11:00:21",0,136,AAA30mAAcAACpE8AAN,-,105322,"	2025-11-26 11:00:00",发布,0,全市陆地,森林火险,109916,0
橙色,0,"全市陆地,森林火险,红色,2025-11-26 11:00:00;.【深圳市森林火险橙色预警信号升级为红色】深圳市森林防灭火指挥部和深圳市气象台2025年11月26日11时00分将全市陆地森林火险橙色预警信号升级为红色，预计未来3天受冷空气影响，我市将持续晴天少云，北风清劲，干燥天气加剧，森林火险气象等级为五级，林内可燃物极易燃烧，森林火灾极易发生，火势蔓延速度极快，有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-11-26 11:00:21",0,135,AAA30mAAcAACpE8AAO,-,105323,"	2025-11-26 11:00:00",取消,0,全市陆地,森林火险,109917,0
蓝色,0,"全市陆地,森林火险,橙色,2025-11-21 11:00:00;.【深圳市解除分区强季风蓝色预警信号】风力逐渐减弱，深圳市气象台2025年11月25日14时41分解除罗湖区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾和大亚湾强季风蓝色预警信号。","	2025-11-25 14:42:05",0,136,AAA30mAAcAACpE8AAM,-,105321,"	2025-11-25 14:41:00",取消,0,"罗湖区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",强季风,109915,0
蓝色,0,"【深圳市分区强季风蓝色预警信号】深圳市气象台2025年11月25日06时发布罗湖区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾和大亚湾强季风蓝色预警信号，预计上述区域沿海、高地和海区最大阵风可达8级左右。请落实各项防风措施。","	2025-11-25 06:02:14",0,136,AAA30mAAcAACpE8AAL,-,105320,"	2025-11-25 06:00:00",发布,0,"罗湖区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",强季风,109914,0
橙色,0,"【深圳市森林火险黄色预警信号升级为橙色】深圳市森林防灭火指挥部和深圳市气象台2025年11月21日11时00分将全市陆地森林火险黄色预警信号升级为橙色，预计我市天气将持续干燥，森林火险气象等级为四级，林内可燃物容易燃烧，森林火灾容易发生，火势蔓延速度快，有关主管部门加大巡山护林力度，严格管制野外火源。","	2025-11-21 11:02:31",0,135,AAA30mAAcAACpE8AAJ,-,105318,"	2025-11-21 11:00:00",发布,0,全市陆地,森林火险,109912,0
